Year,Herd,Lambs,Count,Month,Positives,Samp_Size,Status,Status3,StatusLat,Subspecies,Weight???
2010,PEC,13,85,MAR,NA,NA,Pre,Pre,Pre,Rocky,
2010,PEC,35,103,JUL,NA,NA,Pre,Pre,Pre,Rocky,
2014,PEC,40,218,JUL,NA,NA,Pre,Pre,Pre,Rocky,
2014,PEC,49,122,SEP,NA,NA,Pre,Pre,Pre,Rocky,
2015,PEC,38,252,JUL,NA,NA,Pre,Pre,Pre,Rocky,
2015,PEC,41,189,SEP,NA,NA,Pre,Pre,Pre,Rocky,
2015,WH,27,142,JUL,NA,NA,Pre,Pre,Pre,Rocky,
2015,WH,14,71,AUG,NA,NA,Pre,Pre,Pre,Rocky,
2006,SFR,64,29,JUN,NA,NA,Pre,Pre,Pre,Rocky,
2006,SFR,20,67,OCT,NA,NA,Pre,Pre,Pre,Rocky,
2008,DC,42,27,AUG,NA,NA,Pre,Pre,Pre,Rocky,
2008,DC,35,43,DEC,NA,NA,Pre,Pre,Pre,Rocky,
2011,DC,92,64,JUL,NA,NA,Pre,Pre,Pre,Rocky,
2011,DC,78,83,NOV,NA,NA,Pre,Pre,Pre,Rocky,
2009,RGG,59,38,JUN,NA,NA,Pre,Pre,Pre,Rocky,
2009,RGG,48,83,NOV,NA,NA,Pre,Pre,Pre,Rocky,
2020,RGG,29,288,JUL,10,19,Post,Post,Post,Rocky,
2020,RGG,22,288,NOV,10,19,Post,Post,Post,Rocky,
2021,RGG,50,312,JUL,NA,NA,Post,Post,Post,Rocky,
2021,RGG,16,210,DEC,NA,NA,Post,Post,Post,Rocky,
2001,MZ,53,38,MAY,NA,NA,Pre,Pre,Pre,Rocky,
2001,MZ,64,25,NOV,NA,NA,Pre,Pre,Pre,Rocky,
2002,MZ,92,27,JUN,NA,NA,Pre,Pre,Pre,Rocky,
2002,MZ,44,21,DEC,NA,NA,Pre,Pre,Pre,Rocky,
2012,MZ,67,27,JUL,NA,NA,Pre,Pre,Pre,Rocky,
2012,MZ,33,51,OCT,NA,NA,Pre,Pre,Pre,Rocky,
2015,MZ,30,35,JUN,NA,NA,Pre,Pre,Pre,Rocky,
2015,MZ,35,52,NOV,NA,NA,Pre,Pre,Pre,Rocky,
2015,LAT,42,84,JUN,NA,NA,Pre,Pre,Pre,Rocky,
2015,LAT,48,48,JUL,NA,NA,Pre,Pre,Pre,Rocky,
2017,LAT,10,43,AUG,NA,NA,Pre,Pre,Post,Rocky,
2017,LAT,28,43,OCT,NA,NA,Pre,Pre,Post,Rocky,
2019,LAT,3,55,JUL,NA,NA,Pre,Pre,Post,Rocky,
2019,LAT,26,36,AUG,NA,NA,Pre,Pre,Post,Rocky,
2000,PE,35,49,APR,NA,NA,Pre,Pre,Pre,Desert,
2000,PE,19,45,DEC,NA,NA,Pre,Pre,Pre,Desert,
2001,PE,45,41,MAY,NA,NA,Pre,Pre,Pre,Desert,
2001,PE,22,27,OCT,NA,NA,Pre,Pre,Pre,Desert,
2002,PE,20,16,MAY,NA,NA,Pre,Pre,Pre,Desert,
2002,PE,14,27,OCT/NOV,NA,NA,Pre,Pre,Pre,Desert,
2004,PE,65,56,MAY/AUG,NA,NA,Pre,Pre,Pre,Desert,
2004,PE,35,57,OCT,NA,NA,Pre,Pre,Pre,Desert,
2005,PE,17,66,JAN/JUN,NA,NA,Pre,Pre,Pre,Desert,
2005,PE,20,43,NOV,NA,NA,Pre,Pre,Pre,Desert,
2000,HAT,35,37,APR,NA,NA,Pre,Pre,Pre,Desert,
2000,HAT,27,37,OCT,NA,NA,Pre,Pre,Pre,Desert,
2001,HAT,29,35,MAY,NA,NA,Pre,Pre,Pre,Desert,
2001,HAT,46,33,OCT,NA,NA,Pre,Pre,Pre,Desert,
2006,LH,45,37,JUN,NA,NA,Pre,Pre,Pre,Desert,
2006,LH,13,28,NOV,NA,NA,Pre,Pre,Pre,Desert,
2007,LH,42,45,AUG,NA,NA,Pre,Pre,Pre,Desert,
2007,LH,73,31,NOV,NA,NA,Pre,Pre,Pre,Desert,
2012,LH,58,48,MAY,NA,NA,Pre,Pre,Pre,Desert,
2012,LH,22,41,OCT,NA,NA,Pre,Pre,Pre,Desert,
2017,LH,43,52,MAY,NA,NA,Pre,Pre,Pre,Desert,
2017,LH,27,69,OCT,NA,NA,Pre,Pre,Pre,Desert,
2004,FC,48,66,MAY,NA,NA,Pre,Pre,Pre,Desert,
2004,FC,71,46,OCT,NA,NA,Pre,Pre,Pre,Desert,
2007,FC,38,72,MAY,NA,NA,Pre,Pre,Pre,Desert,
2007,FC,41,60,OCT,NA,NA,Pre,Pre,Pre,Desert,
2013,FC,55,111,MAY,NA,NA,Pre,Pre,Pre,Desert,
2013,FC,26,201,OCT,NA,NA,Pre,Pre,Pre,Desert,
2015,FC,39,193,MAY,NA,NA,Pre,Pre,Pre,Desert,
2015,FC,31,221,OCT,NA,NA,Pre,Pre,Pre,Desert,
2017,FC,29,272,MAY,0,2,Post,Post,Post,Desert,
2017,FC,21,242,NOV,0,2,Post,Post,Post,Desert,
2008,CAB,57,25,MAY,NA,NA,Pre,Pre,Pre,Desert,
2008,CAB,38,22,OCT,NA,NA,Pre,Pre,Pre,Desert,
2009,CAB,86,31,JUN,NA,NA,Pre,Pre,Pre,Desert,
2009,CAB,30,42,NOV,NA,NA,Pre,Pre,Pre,Desert,
2022,SA,7,50,OCT,NA,NA,Post,Pre,Post,Desert,
2022,SA,13,70,DEC,NA,NA,Post,Pre,Post,Desert,
2009,LA,46,23,JUN,NA,NA,Pre,Pre,Pre,Desert,
2009,LA,56,22,OCT,NA,NA,Pre,Pre,Pre,Desert,
2018,CUL,58,52,JUL,NA,NA,Pre,Pre,Pre,Rocky,
2018,CUL,48,50,AUG,NA,NA,Pre,Pre,Pre,Rocky,
2019,CUL,47,48,JUL,NA,NA,Pre,Pre,Pre,Rocky,
2019,CUL,38,48,AUG,NA,NA,Pre,Pre,Pre,Rocky,
