Herd,Date,Est
PEC,Jul 00,353
PEC,Jul 01,350
PEC,Aug 02,325
PEC,Jul 03,350
PEC,Jul 04,350
PEC,Jul 05,350
PEC,Jul 06,325-375
PEC,Jul 07,260-290
PEC,Jul 08,200-220
PEC,Jul 09,130
PEC,Mar 10,100
PEC,Jul 10,125
PEC,Sep 11,122-135
PEC,July/Sept'12,151-165
PEC,Sep '13,190-210
PEC,Jul '14,235-260
PEC,Sep '14,230-255
PEC,Jul '15,260-290
PEC,Sep'15,260-290
PEC,Jul '16,350-400
PEC,Jul '17,350-400
PEC,Jul '18,350-400
PEC,July '19,310-360
PEC,July '21,340-390
PEC,July '22,380-420
WH,Sep 00,180
WH,Sep 01,200
WH,Sep 02,225
WH,Sep 03,250
WH,Jul 04,300
WH,Jul 05,300
WH,Jul 06,320-350
WH,Jul 08,250-300
WH,Jul 09,215-255
WH,Jul 10,225-275
WH,Jul 11,275-325
WH,Jul 12,250-300
WH,Jul 13,250-300
WH,Jul 14,250-300
WH,Jul 15,215-260
WH,Aug 15,
WH,Jul 16,
WH,Jul 16,230-275
WH,Aug_17,230-275
WH,Jul '18,230-275
WH,Jul '19,265-300
WH,Jul '21,
WH,Jul '22,230-275
SFR,Oct 00,50
SFR,Nov 01,65
SFR,Oct 02,75
SFR,Oct 03,85
SFR,Oct 04,105
SFR,Oct 05,110-120
SFR,Jun 06,40-50
SFR,Oct 06,70-80
SFR,Jun 07,70-80
SFR,Oct 08,75-85
SFR,Oct 09,75-85
SFR,Oct 10,50-65
SFR,Dec 11,25-45
SFR,Oct 12,20-30
SFR,Oct_13,25-35
SFR,Oct 14,75-90
SFR,Oct_15,50-75
SFR,Oct_16,65-80
SFR,May_18,
SFR,Dec_19,50-70
SFR,Oct_21,50-70
TC,Oct 00,40
TC,Nov 01,35
TC,Oct 02,45
TC,Oct 03,45
TC,Oct 04,45
TC,Oct 05,45-50
TC,Oct 06,75-85
TC,Nov 07,65-75
TC,Oct 08,65-75
TC,Oct 09,50-70
TC,Oct 10,30-50
TC,Jan 12,15-30
TC,Oct 12,15-30
TC,Oct 13,20-25
TC,Nov 13,20-25
TC,Sep 15,
TC,May 18,20-30
TC,Sep_18,30-35
DC,Aug-07,34
DC,Aug-08,27
DC,Dec 08,45-60
DC,Dec 09,70-80
DC,Nov 10,60-70
DC,Jul 11,80-90
DC,Nov 11,85-95
DC,Nov 12,100-120
DC,Nov 13,105-130
DC,Dec 14,105-130
DC,Nov 15,115-130
DC,Nov. 16,145-165
DC,Nov. 17,170-190
DC,Dec. 18,170-190
DC,Nov. 19,150-170
DC,Nov. 20,150-170
DC,21-Dec,155-175
DC,22-Nov,155-175
RGG,Sept-06,23
RGG,Aug-07,25
RGG,June-08,49-68
RGG,June 09,65-75
RGG,Nov 09,85-90
RGG,Nov 10,111-120
RGG,Nov 11,130-145
RGG,Nov 12,150-170
RGG,Nov 13,180-200
RGG,Nov 14,230-250
RGG,Nov 15,265-290
RGG,Nov_16,320-350
RGG,Nov_17,355-400
RGG,Nov_18,375-420
RGG,Dec_19,375-420
RGG,Jul 20,
RGG,Nov 20,
RGG,Jul 21,
RGG,Dec 21,290-320
RGG,Oct 22 ,225-275
MZ,Dec 00,30
MZ,May 01,40
MZ,Nov 01,30
MZ,Jun 02,35
MZ,Dec 02,21
MZ,Feb 07,20-30
MZ,May 09,20-25
MZ,Aug 10,25-35
MZ,Jun-11,
MZ,July 12,30-40
MZ,Oct-12,52-60
MZ,Nov_13,45-55
MZ,2014 Feb,45
MZ,2014 June,52-60
MZ,June 15,36
MZ,15-Nov,52-60
MZ,Oct_2018,50-70
MZ,Dec_2019,60-80
MZ,Dec_2022,50-70
CUL,Aug 2010,
CUL,Sep 2011,
CUL,Jul 2012,
CUL,Jul 2013,30-35
CUL,Jul 2014,35-40
CUL,Jul 2015,20-25
CUL,Jul 2016,45-50
CUL,Aug 2016 ,
CUL,Jul 2017,
CUL,Aug 2017,65-70
CUL,Jul 2018,55-60
CUL,Aug 2018,55-60
CUL,Jul 2019,55-60
CUL,Aug 2019,55-60
CUL,Aug 2020,60-65
CUL,Jul_2021,55-75
CUL,Jul_2022,55-75
CUL,Aug-22,55-75
LAT,AUG 01,56
LAT,JULY 02,85
LAT,JULY 03,106
LAT,JULY 04,128
LAT,JULY 05,150
LAT,JULY 06,140-160
LAT,JULY 07,70-75
LAT,JULY 07,70-75
LAT,July 08,70-75
LAT,July 09,80-100
LAT,July 10,85-90
LAT,Aug 11,110-120
LAT,July 12,115-125
LAT,Aug 13,125-145
LAT,Jul 14,125-145
LAT,Jun 15,125-145
LAT,Jul 15,125-145
LAT,Jul 16,85-100
LAT,Jul 16,85-100
LAT,Aug_17,60-70
LAT,Oct_17,60-70
LAT,Jul '18,55-70
LAT,Jul '19,60-75
LAT,Aug '19,60-75
LAT,Jul '21,65-80
LAT,Jul '22,65-80
PE,Apr 00,60
PE,Dec 00,50
PE,May 01,50
PE,Oct 01,30
PE,May 02,25-30
PE,Oct/Nov 02,25-30
PE,May 03,25
PE,May/ Aug 04,70
PE,Oct 04,57
PE,Jan/Jun 05,70
PE,Nov 05,70
PE,jun 06,70
PE,Jan/Aug 07,75-85
PE,May 09,75-85
PE,June 10,75-85
PE,May11,70-85
PE,Nov11,90-105
PE,May12,110-135
PE,May 13,100-125
PE,May_14,85-110
PE,May 15,90-115
PE,April 16,125-145
PE,May 17,130-150
PE,May 18,130-150
PE,Oct 18,165-185
PE,May 19,140-160
PE,May 21,120-140
PE,June 22,120-140
HAT,Apr 00,50
HAT,Oct 00,45
HAT,May 01,40
HAT,Oct 01,40
HAT,May 02,40
HAT,May 03,35
HAT,May 04,40
,LH  Oct 05,25-30
,BH May05,15-20
,LH Jun 06,65-70
,BH June06,
,LHNov 06,50-55
,BH Nov06,
,LHAug 07,50-60
,BH Jun07,50-60
,LH Nov07,55-60
,BHNov07,70-75
,LHMay08,60-65
,BHMay08,65-70
,LHMay09,65-70
,BHMay09,65-70
,BHJun10,65-70
,LHOct10,60-70
,BHMay11,60-75
,LHMay12,
,BHOct12,75-85
,LHOct12,65-75
,LHOct13,75-85
,BHOct13,55-65
,LHOct14,60-70
,BHOct14,55-65
,BHNov14,120-130
,LHMay15,75-85
,BHOct15,120-150
,LHApril16,90-110
,BHApril16,135-155
,LHMay17,
,BHMay17,135-155
,LHOct17,70-90
,BHMay18,110-140
,LHMay19,75-90
,BHMay19,85-115
,LH May21,70-90
,BH May21,85-115
,LH June22,45-65
,BH June22,85-115
FC,OCT 00,56
FC,OCT 01,66
FC,AUG 02,79
FC,April 03,
FC,MAY 03,65
FC,NOV 03,
FC,MAY 04,75
FC,OCT 04,60
FC,MAY 05,65
FC,MAY 06,70-80
FC,MAY 07,75-85
FC,OCT 07,80-90
FC,MAY 08,95-105
FC,MAY 09,
FC,JUN 10,170-200
FC,MAY 11,200-230
FC,MAY 12,215-245
FC,May 13,230-270
FC,OCT_13,230-270
FC,May 14,231
FC,May_15,230-250
FC,Oct_15,230-260
FC,Dec_16,290-320
FC,May_17,300-350
FC,Nov 17,300-350
FC,Nov 18,225-275
FC,Dec 19,160-210
FC,Dec_20,150-200
FC,Oct 21,160-180
CAB,May 08,25-30
CAB,Oct 08,25-35
CAB,June 09,30-40
CAB,Nov 09,48-58
CAB,10-Nov,60-65
CAB,11-May,65-75
CAB,12-Nov,95-100
CAB,Oct_13,105-115
CAB,Oct_14,105-115
CAB,Oct_15,125-145
CAB,Oct_16,145-165
CAB,Nov_17,170-190
CAB,Oct_18,200-230
CAB,Dec_19,230-260
CAB,20-Sep,
CAB,May_21,220-250
CAB,June_22,175-205
SA,Dec-02,60
SA,Dec-03,59
SA,Dec-04,68
SA,Jun-05,81
SA,Dec-05,105-115
SA,Dec-06,70-80
SA,Aug-07,80-90
SA,Oct--08,85-95
SA,Dec--09,95-105
SA,Oct--10,115
SA,Oct--12,110-125
SA,Oct_15,180-220
SA,16-Oct,200-240
SA,Nov_17,210-250
SA,Oct_18,235-275
SA,Oct_19,185-225
SA,Oct_21,190-230
LA,JUN 00,24
LA,OCT 00,23
LA,OCT 01,26
LA,MAY 02,27
LA,APR 03,30
LA,MAY 04,30
LA,JUN 06,30-40
LA,JUN 07,
LA,JUN 08,25-40
LA,JUN 09,25-40
LA,OCT 09,
LA,JUN10,35-45
LA,MAY11,
LA,SEP '12,50-60
LA,SEP '13,65-75
LA,MAY 14,70-80
LA,SEP '16,80-90
LA,DEC '17,110-120
LA,May ' 18,125-150
LA,Jul '19,
LA,Dec 19,145-175
LA,May '21,185-215
LA,June 22,185-215
JZ,Aug '14,45
JZ,Jun '16,60-75
JZ,Feb '17,
JZ,Jun ' 17,105-115
JZ,Jun' 18,120-140
JZ,Jun'19,
JZ,Jul '19,130-160
JZ,Jul '20,157-194
JZ,Sep '21,150-200
JZ,Aug  '22,
SAC,2018,30
SAC,2019,30-40
SAC,2020,61-71
SAC,2021,35-45
SAC,2022,41-45
